title,author,author_gender
The Scarlet Letter,Nathaniel Hawthorne,male
The Godfather,Mario Puzo,male
Fight Club,Chuck Palahniuk,male
In Cold Blood,Truman Capote,male
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,female
The Five People You Meet in Heaven,Mitch Albom,Unknown
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,female
Lonesome Dove,Larry McMurtry,male
The Cat in the Hat,Dr. Seuss,male
"American Gods (American Gods, #1)",Neil Gaiman,Unknown
"Holes (Holes, #1)",Louis Sachar,male
The Count of Monte Cristo,Alexandre Dumas,male
Perfume: The Story of a Murderer,Patrick Süskind,male
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,male
Watchmen,Alan Moore,male
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,female
It,Stephen King,male
Peter Pan,J.M. Barrie,male
The Divine Comedy,Dante Alighieri,male
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,male
All Quiet on the Western Front,Erich Maria Remarque,male
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,Unknown
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,female
Love in the Time of Cholera,Gabriel García Márquez,male
A Walk to Remember,Nicholas Sparks,male
The Thorn Birds,Colleen McCullough,female
"Insurgent (Divergent, #2)",Veronica Roth,female
"The Hobbit, or There and Back Again",J.R.R. Tolkien,male
How the Grinch Stole Christmas!,Dr. Seuss,male
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,male
"Eat, Pray, Love",Elizabeth Gilbert,female
Atonement,Ian McEwan,male
The Importance of Being Earnest,Oscar Wilde,male
Their Eyes Were Watching God,Zora Neale Hurston,female
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,male
"Frostbite (Vampire Academy, #2)",Richelle Mead,female
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,male
Goodnight Moon,Margaret Wise Brown,female
The Lorax,Dr. Seuss,male
"Blood Promise (Vampire Academy, #4)",Richelle Mead,female
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,male
"The Good Earth (House of Earth, #1)",Pearl S. Buck,female
Tess of the D'Urbervilles,Thomas Hardy,male
Heart of Darkness,Joseph Conrad,male
The Prophet,Kahlil Gibran,male
A Midsummer Night's Dream,William Shakespeare,male
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,female
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,male
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,female
The Joy Luck Club,Amy Tan,female
Alice in Wonderland,Lewis Carroll,male
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,male
The Call of the Wild,Jack London,male
Jonathan Livingston Seagull,Richard Bach,male
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,male
The Phantom Tollbooth,Norton Juster,male
Madame Bovary,Gustave Flaubert,male
Bridge to Terabithia,Katherine Paterson,female
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,male
"Oh, the Places You'll Go!",Dr. Seuss,male
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,female
"The Maze Runner (The Maze Runner, #1)",James Dashner,Unknown
Oliver Twist,Charles Dickens,male
Ulysses,James Joyce,male
The Neverending Story,Michael Ende,male
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,Unknown
Treasure Island,Robert Louis Stevenson,male
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,female
The Canterbury Tales,Geoffrey Chaucer,male
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,male
The World According to Garp,John Irving,male
A Farewell to Arms,Ernest Hemingway,male
David Copperfield,Charles Dickens,male
Thirteen Reasons Why,Jay Asher,male
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,male
"Shōgun (Asian Saga, #1)",James Clavell,male
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Unknown
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,female
Schindler's List,Thomas Keneally,male
A Little Princess,Frances Hodgson Burnett,female
His Dark Materials (His Dark Materials #1-3),Philip Pullman,male
"Fallen (Fallen, #1)",Lauren Kate,female
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,female
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,female
The Boy in the Striped Pajamas,John Boyne,male
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,male
The Secret Magdalene,Ki Longfellow,female
The Silmarillion,J.R.R. Tolkien,male
A Confederacy of Dunces,John Kennedy Toole,male
The Sun Also Rises,Ernest Hemingway,male
The Night Circus,Erin Morgenstern,Unknown
Beloved,Toni Morrison,female
The Trial,Franz Kafka,male
The Velveteen Rabbit,Margery Williams Bianco,female
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,female
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,male
Cat's Cradle,Kurt Vonnegut Jr.,male
"The Selection (The Selection, #1)",Kiera Cass,Unknown
The Iliad/The Odyssey,Homer,male
The Crucible,Arthur  Miller,male
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,female
The Screwtape Letters,C.S. Lewis,male
Girl with a Pearl Earring,Tracy Chevalier,Unknown
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,female
The Wind in the Willows,Kenneth Grahame,Unknown
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,female
The God of Small Things,Arundhati Roy,female
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,female
A Light in the Attic,Shel Silverstein,Unknown
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,female
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,male
She's Come Undone,Wally Lamb,male
"Uglies (Uglies, #1)",Scott Westerfeld,Unknown
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,female
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,male
Man's Search for Meaning,Viktor E. Frankl,male
The Wind-Up Bird Chronicle,Haruki Murakami,male
The Phantom of the Opera,Gaston Leroux,male
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,female
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,male
The Sound and the Fury,William Faulkner,male
The Shack,William Paul Young,male
"Marked (House of Night, #1)",P.C. Cast,female
Blindness,José Saramago,male
Fear and Loathing in Las Vegas,Hunter S. Thompson,male
The Green Mile,Stephen King,male
