title,author,author_gender
"Warriors Boxed Set (Warriors, #1-3)",Erin Hunter,female
"Absolution (Heavenly, #3)",Jennifer Laurens,female
Illywhacker,Peter Carey,male
Fireproof,Eric Wilson,Unknown
Sidney Sheldon's Mistress of the Game,Tilly Bagshawe,female
Saman,Ayu Utami,Unknown
"Shattered Glass (Shattered Glass, #1)",Dani Alexander,Unknown
"Metamorphosis (Book Boyfriend, #1)",Erin Noelle,female
Caligula,Albert Camus,male
Amor de Perdição,Camilo Castelo Branco,male
Annihilation (Southern Reach #1),Jeff VanderMeer,male
A Unique Kind of Love: A Different Perspective [Excerpt],Jasmine  Rose,Unknown
"Now I Rise (The Conqueror's Saga, #2)",Kiersten White,female
"Killer Spirit (The Squad, #2)",Jennifer Lynn Barnes,female
"Hood (King Raven, #1)",Stephen R. Lawhead,male
The Atonement Child,Francine Rivers,female
Pilgrim,Timothy Findley,male
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,male
"A Witch in Winter (Winter Trilogy, #1)",Ruth Warburton,Unknown
Under Milk Wood,Dylan Thomas,male
The Summons,John Grisham,male
Auto da Barca do Inferno,Gil Vicente,male
The Pigeon,Patrick Süskind,male
"Smart, Sexy and Secretive (The Reed Brothers, #2)",Tammy Falkner,female
Min kamp 2 (Min kamp #2),Karl Ove Knausgård,male
"Defy (Defy, #1)",Sara B. Larson,female
The Last Picture Show,Larry McMurtry,male
The Rebel,Albert Camus,male
The Philosophy of Andy Warhol,Andy Warhol,male
Frida: A Biography of Frida Kahlo,Hayden Herrera,Unknown
Streets of Laredo,Larry McMurtry,male
"The Spook's Sacrifice (The Last Apprentice / Wardstone Chronicles, #6)",Joseph Delaney,male
"Spell Bound (Women of the Otherworld, #12)",Kelley Armstrong,female
The Complete Robot (Robot #0.3),Isaac Asimov,male
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,female
"Saving Grace (Mad World, #2)",Christine Zolendz,Unknown
"The Interludes (In the Company of Shadows, #3)",Ais,Unknown
Next,Michael Crichton,male
The Encyclopedia of the Dead,Danilo Kiš,male
The Family,Mario Puzo,male
Coming Up for Air,George Orwell,male
"The Traitor (Divergent, #0.4)",Veronica Roth,female
"Queen of Babble (Queen of Babble, #1)",Meg Cabot,female
To Dance with the White Dog,Terry Kay,Unknown
The Longest Day,Cornelius Ryan,male
Beyond the Deepwoods  (The Edge Chronicles: The Twig Saga #1),Paul Stewart,male
"Vienna Prelude (Zion Covenant, #1)",Bodie Thoene,female
"Shadowfell (Shadowfell, #1)",Juliet Marillier,female
The Yacoubian Building,Alaa Al Aswany,male
Vampire Blood Trilogy,Darren Shan,male
A Long Walk to Water: Based on a True Story,Linda Sue Park,female
Beelzebub's Tales to His Grandson,G.I. Gurdjieff,male
Iceland's Bell,Halldór Laxness,male
"Dark River (Warriors: Power of Three, #2)",Erin Hunter,female
"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,female
"The Craving (The Vampire Diaries: Stefan's Diaries, #3)",L.J. Smith,female
Железният светилник,Димитър Талев,Unknown
"Curtsies & Conspiracies (Finishing School, #2)",Gail Carriger,Unknown
"Until Lilly (Until, #3)",Aurora Rose Reynolds,female
"Brutally Beautiful (Beautiful, #1)",Christine Zolendz,Unknown
"All-Star Superman, Vol. 1",Grant Morrison,male
"More Than Forever (More Than, #4)",Jay McLean,female
"Fear You (Broken Love, #2)",B.B. Reid,female
"In the Middle of Somewhere (Middle of Somewhere, #1)",Roan Parrish,female
"Monster Hunter International (Monster Hunter International, #1)",Larry Correia,Unknown
Moon Rising (Wings of Fire #6),Tui T. Sutherland,Unknown
"Ruined (Ruined, #1)",Amy Tintera,Unknown
A List of Cages,Robin Roe,Unknown
Kissing the Witch: Old Tales in New Skins,Emma Donoghue,female
Hold Tight,Harlan Coben,male
Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,male
Star Maker,Olaf Stapledon,Unknown
Travels with Herodotus,Ryszard Kapuściński,male
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,male
For colored girls who have considered suicide/when the rainbow is enuf,Ntozake Shange,female
"Misbehaving (Sea Breeze, #6)",Abbi Glines,female
The Midwife's Apprentice,Karen Cushman,female
"Ramona the Pest (Ramona, #2)",Beverly Cleary,female
The Sweetest Kill,Amber Lee,Unknown
"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 3.1, 3.5, 5.1, 5.2)",Kiera Cass,Unknown
Tangerine,Edward Bloor,Unknown
"Witch Child (Witch Child, #1)",Celia Rees,female
"I, Coriander",Sally Gardner,female
True History of the Kelly Gang,Peter Carey,male
Modoc: The True Story of the Greatest Elephant That Ever Lived,Ralph Helfer,Unknown
"Cyteen (Cyteen, #1-3)",C.J. Cherryh,female
The Warden  (Chronicles of Barsetshire #1),Anthony Trollope,male
Redshirts,John Scalzi,male
"Hudson (Fixed, #4)",Laurelin Paige,female
Nooit meer slapen,Willem Frederik Hermans,male
Firmin: Adventures of a Metropolitan Lowlife,Sam Savage,male
"Him (Him, #1)",Sarina Bowen,female
The Wedding: One Night with the Prince: A Bonus Chapter,T.M. Mendes,female
Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,male
The Voyage Out,Virginia Woolf,female
"The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling,Unknown
"Auralia's Colors (The Auralia Thread, #1)",Jeffrey Overstreet,female
"A Faint Cold Fear (Grant County, #3)",Karin Slaughter,female
Le deuxième sexe I,Simone de Beauvoir,female
Big Fish,Daniel Wallace,male
"The Perfect Play (Play by Play, #1)",Jaci Burton,female
Pensées,Blaise Pascal,male
"Hunting Lila (Lila, #1)",Sarah Alderson,female
"Alle sieben Wellen (Gut gegen Nordwind, #2)",Daniel Glattauer,Unknown
"Reawakened (Once Upon a Time, #1)",Odette Beane,Unknown
Venus in Furs,Leopold von Sacher-Masoch,male
Saving Grace,Julie Garwood,female
"The Land of Painted Caves (Earth's Children, #6)",Jean M. Auel,female
"Queen Song (Red Queen, #0.1)",Victoria Aveyard,Unknown
The Bone Garden,Tess Gerritsen,female
My Friend Leonard,James Frey,male
Gossamer,Lois Lowry,male
"Long Shadows (Warriors: Power of Three, #5)",Erin Hunter,female
"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",Jonathan Auxier,Unknown
Legacy,Susan  Kay,female
Legs,William  Kennedy,male
JPod,Douglas Coupland,male
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,male
"Infamous (Chronicles of Nick, #3)",Sherrilyn Kenyon,female
Ecce Homo,Friedrich Nietzsche,male
"Oath Breaker (Chronicles of Ancient Darkness, #5)",Michelle Paver,female
Attack of the Deranged Mutant Killer Monster Snow Goons (Calvin and Hobbes #7),Bill Watterson,male
"Holy Blood, Holy Grail",Michael Baigent,male
"Die Trying (Jack Reacher, #2)",Lee Child,male
"Dark Reunion (The Vampire Diaries, #4)",L.J. Smith,female
"The Memory of Earth (Homecoming, #1)",Orson Scott Card,male
"Code (Virals, #3)",Kathy Reichs,female
Death Comes as the End,Agatha Christie,female
Three Weeks To Say Goodbye,C.J. Box,male
The Mystery of the Yellow Room (Joseph Rouletabille #1),Gaston Leroux,male
Armada,Ernest Cline,male
"Ozma of Oz (Oz, #3)",L. Frank Baum,male
The Upanishads,Anonymous,Unknown
"Silverthorn (The Riftwar Saga, #3)",Raymond E. Feist,male
Before You Know Kindness,Chris Bohjalian,male
"The Regeneration Trilogy (Regeneration, #1-3)",Pat Barker,Unknown
I am Charlotte Simmons,Tom Wolfe,male
"The Druid of Shannara (Heritage of Shannara, #2)",Terry Brooks,male
"Boneshaker (The Clockwork Century, #1)",Cherie Priest,female
"Virgin River (Virgin River, #1)",Robyn Carr,female
Sea Change,Aimee Friedman,female
The Golden Bough,James George Frazer,Unknown
"Marching Powder: A True Story of Friendship, Cocaine, and South America's Strangest Jail",Rusty Young,male
Korkma Ben Varım,Murat Menteş,Unknown
"The Assassin and the Healer (Throne of Glass, #0.2)",Sarah J. Maas,female
"Until Trevor (Until, #2)",Aurora Rose Reynolds,female
L'appel de l'ange,Guillaume Musso,male
"Escaping Peril (Wings of Fire, #8)",Tui T. Sutherland,Unknown
"Meeting Mr. Mogul: A CEO Billionaire Contemporary Romance (Mogul, #1)",Mel Ryle,female
"Handcuffs, Kisses and Awkward Situations: Mystery Romance",Olivia Harvard,female
"The Color Code: A New Way to See Yourself, Your Relationships, and Life",Taylor Hartman,Unknown
Excellent Women,Barbara Pym,female
The Actor and the Housewife,Shannon Hale,Unknown
"Immortal (Immortal, #1)",Gillian Shields,female
There's No Such Place As Far Away,Richard Bach,male
Whispers,Dean Koontz,male
Shades of Twilight,Linda Howard,female
"This Same Earth (Elemental Mysteries, #2)",Elizabeth   Hunter,female
The Satanic Bible,Anton Szandor LaVey,male
"A Dog's Journey (A Dog's Purpose, #2)",W. Bruce Cameron,female
"Late Eclipses (October Daye, #4)",Seanan McGuire,Unknown
The Metamorphosis and Other Stories,Franz Kafka,male
"Raise the Titanic! (Dirk Pitt, #4)",Clive Cussler,male
"The Golden Braid (Hagenheim, #6)",Melanie Dickerson,female
Lilly's Purple Plastic Purse,Kevin Henkes,male
Hiding in the Shadows (Bishop/Special Crimes Unit #2; Shadows #2),Kay Hooper,female
"Cast in Chaos (Chronicles of Elantra, #6)",Michelle Sagara,female
Cunt: A Declaration of Independence,Inga Muscio,Unknown
"Rise of Empire (The Riyria Revelations, #3-4)",Michael J. Sullivan,male
The Pursuit of Holiness,Jerry Bridges,male
The Wall,John Hersey,Unknown
"Hexed (The Witch Hunter, #1)",Michelle Krys,Unknown
"The Face of Death (Smoky Barrett, #2)",Cody McFadyen,male
"Phantom Waltz (Kendrick/Coulter/Harrigan, #2)",Catherine Anderson,female
Pudd'nhead Wilson,Mark Twain,male
"The Submissive (Submissive, #1)",Tara Sue Me,female
"The Power (The Secret Circle, #3)",L.J. Smith,female
A Thousand Boy Kisses,Tillie Cole,female
"Long Road to Mercy (Atlee Pine, #1)",David Baldacci,male
"Morning and Evening, Based on the English Standard Version",Charles Haddon Spurgeon,male
"Jack & Jill (Alex Cross, #3)",James Patterson,male
The Book Whisperer: Awakening the Inner Reader in Every Child,Donalyn Miller,female
"Eleventh Grade Burns (The Chronicles of Vladimir Tod, #4)",Heather Brewer,male
"Fear Nothing (Moonlight Bay, #1)",Dean Koontz,male
Vampire War Trilogy,Darren Shan,male
"Juliet Immortal (Juliet Immortal, #1)",Stacey Jay,Unknown
Out of the Easy,Ruta Sepetys,Unknown
The Faded Sun Trilogy (The Faded Sun #1-3),C.J. Cherryh,female
"The Wolves of Willoughby Chase (The Wolves Chronicles, #1)",Joan Aiken,female
"Red Hill (Red Hill, #1)",Jamie McGuire,female
False Impression,Jeffrey Archer,male
Being the Bad Boy's Victim,Claire Monette,female
The Lavender Garden,Lucinda Riley,female
"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",Plato,male
Mayfair Witches Collection,Anne Rice,female
Belle du Seigneur,Albert Cohen,male
"A Ring of Endless Light (Austin Family, #4)",Madeleine L'Engle,female
Fearless: Imagine Your Life Without Fear,Max Lucado,male
"The Cardinal of the Kremlin (Jack Ryan, #4)",Tom Clancy,male
"Divine Justice (Camel Club, #4)",David Baldacci,male
The Golem,Gustav Meyrink,male
"Fallen Crest Family (Fallen Crest High, #2)",Tijan,Unknown
The Story Sisters,Alice Hoffman,Unknown
"Rock Chick Renegade (Rock Chick, #4)",Kristen Ashley,female
"Fourth Grave Beneath My Feet (Charley Davidson, #4)",Darynda Jones,female
"The Dark Hills Divide (The Land of Elyon, #1)",Patrick Carman,Unknown
مدن الملح,Abdul Rahman Munif,Unknown
The Custom of the Country,Edith Wharton,female
A Bad Case of Stripes,David Shannon,male
The Protestant Ethic and the Spirit of Capitalism,Max Weber,male
Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,female
A Man in Full,Tom Wolfe,male
The Lady and the Unicorn,Tracy Chevalier,Unknown
The Doll,Bolesław Prus,male
"A Local Habitation (October Daye, #2)",Seanan McGuire,Unknown
Christ Recrucified,Nikos Kazantzakis,male
The Paper Bag Princess,Robert Munsch,male
Confessions of an Economic Hit Man,John Perkins,male
"Outcast (Warriors: Power of Three, #3)",Erin Hunter,female
"Eclipse (Warriors: Power of Three, #4)",Erin Hunter,female
"Remembrance of Things Past: Volume III - The Captive, The Fugitive, & Time Regained",Marcel Proust,male
"Finger Lickin' Fifteen (Stephanie Plum, #15)",Janet Evanovich,Unknown
There's a Boy in the Girls' Bathroom,Louis Sachar,male
Marie Antoinette: The Journey,Antonia Fraser,female
"Forgiven (The Demon Trappers, #3)",Jana Oliver,female
"Rock Chick Redemption (Rock Chick, #3)",Kristen Ashley,female
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,Black Elk,male
The Shining Girls,Lauren Beukes,female
"Archangel's Legion (Guild Hunter, #6)",Nalini Singh,male
"Cemetery Dance (Pendergast, #9)",Douglas Preston,male
"Dirty Rowdy Thing (Wild Seasons, #2)",Christina Lauren,Unknown
In Real Life,Cory Doctorow,male
Grasshopper Jungle,Andrew  Smith,Unknown
Ruby Holler,Sharon Creech,Unknown
Blue Highways,William Least Heat-Moon,male
The Amber Room,Steve Berry,male
"The Last Oracle (Sigma Force, #5)",James Rollins,male
Fly by Night,Frances Hardinge,female
"Kiss Me, Judas",Will Christopher Baer,male
Evening Class,Maeve Binchy,female
Funny in Farsi: A Memoir of Growing Up Iranian in America,Firoozeh Dumas,female
The Island of the Day Before,Umberto Eco,male
Tales of the South Pacific,James A. Michener,male
"Ashfall (Ashfall, #1)",Mike Mullin,male
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,male
"Blackout (Newsflesh Trilogy, #3)",Mira Grant,female
Terra Nostra,Carlos Fuentes,male
"Kiss of Frost (Mythos Academy, #2)",Jennifer Estep,female
The Priory of the Orange Tree,Samantha Shannon,Unknown
Twilight of the Idols/The Anti-Christ,Friedrich Nietzsche,male
Tar Baby,Toni Morrison,female
"Lady of Light and Shadows (Tairen Soul, #2)",C.L. Wilson,female
"Retribution (Dark-Hunter, #19)",Sherrilyn Kenyon,female
The Tenth Circle,Jodi Picoult,female
"Hush Money (Talent Chronicles, #1)",Susan Bischoff,Unknown
Shut Out,Kody Keplinger,Unknown
"The Dark Light of Day (The Dark Light of Day, #1)",T.M. Frazier,female
I Am David,Anne Holm,female
The Best Thing for Me,Lauren  Jackson,female
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,male
"Branded by Fire (Psy-Changeling, #6)",Nalini Singh,male
Of Love and Shadows,Isabel Allende,female
A Mercy,Toni Morrison,female
Cast in Fury (Chronicles of Elantra #4),Michelle Sagara,female
The Pillowman,Martin McDonagh,male
"Divine By Choice (Partholon, #2)",P.C. Cast,female
"Mini Shopaholic (Shopaholic, #6)",Sophie Kinsella,female
Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,Unknown
"Legacy (Night School, #2)",C.J. Daugherty,female
"Daughters of Darkness (Night World, #2)",L.J. Smith,female
Playlist for the Dead,Michelle Falkoff,Unknown
March of the Hooligans,Dougie Brimson,male
"xxxHolic, Vol. 6  (xxxHOLiC, #6)",CLAMP,female
"The Glass Books of the Dream Eaters (Miss Temple, Doctor Svenson, and Cardinal Chang, #1)",Gordon Dahlquist,Unknown
The Dante Club (The Dante Club #1),Matthew Pearl,male
Ladder of Years,Anne Tyler,female
"The Ruby in the Smoke (Sally Lockhart, #1)",Philip Pullman,male
"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,female
"Mile High (Up in the Air, #2)",R.K. Lilley,female
The Brethren,John Grisham,male
"Forbidden (The Demon Trappers, #2)",Jana Oliver,female
The Hen Who Dreamed She Could Fly,Sun-mi Hwang,female
"The Game Changer (The Perfect Game, #2)",J. Sterling,female
The Eighth Sister (Charles Jenkins #1),Robert Dugoni,male
"Island in the Sea of Time (Nantucket, #1)",S.M. Stirling,male
The Princess,Lori Wick,female
Portrait of a Killer: Jack the Ripper - Case Closed,Patricia Cornwell,female
"Mr. Darcy's Diary (Jane Austen Heroes, #1)",Amanda Grange,female
"Crocodile on the Sandbank (Amelia Peabody, #1)",Elizabeth Peters,female
Thunderhead,Douglas Preston,male
Les caves du Vatican,André Gide,male
Afterworlds (Afterworlds #1),Scott Westerfeld,Unknown
"Move the Sun (Signal Bend, #1)",Susan Fanetti,female
"First Debt (Indebted, #2)",Pepper Winters,female
Miss Pettigrew Lives for a Day,Winifred Watson,female
"Raze (Scarred Souls, #1)",Tillie Cole,female
Evicted: Poverty and Profit in the American City,Matthew Desmond,male
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,male
Up in the Old Hotel,Joseph Mitchell,male
"Blood Magic (The Blood Journals, #1)",Tessa Gratton,female
One Door Away from Heaven,Dean Koontz,male
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,male
"Torn (The Missing, #4)",Margaret Peterson Haddix,female
You Can Heal Your Life,Louise L. Hay,female
The Birth House,Ami McKay,female
Cosmopolis,Don DeLillo,male
Cigars of the Pharaoh (Tintin #4),Hergé,male
The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce,male
"Come Away with Me (With Me in Seattle, #1)",Kristen Proby,female
The Orenda,Joseph Boyden,male
Brown Girl Dreaming,Jacqueline Woodson,female
Faking Delinquency,Ashley Winters,female
"The Hidden Kingdom (Wings of Fire, #3)",Tui T. Sutherland,Unknown
"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,male
Giles Goat-Boy,John Barth,male
Fever Pitch,Nick Hornby,male
A History of the World in 10½  Chapters,Julian Barnes,male
The Red Book: Liber Novus,C.G. Jung,male
Freedom from the Known,Jiddu Krishnamurti,male
Andersonville,MacKinlay Kantor,male
"What Really Happened in Peru (The Bane Chronicles, #1)",Cassandra Clare,female
"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,female
Between The Lines: Volumes of Words Unspoken,Céline Zabad,Unknown
"Dead Is the New Black (Dead Is, #1)",Marlene Perez,Unknown
Sacred Hunger (Sacred Hunger #1),Barry Unsworth,male
"The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin, #1-3)",Edgar Allan Poe,male
"Oh, the Thinks You Can Think!",Dr. Seuss,male
Post Captain (Aubrey & Maturin #2),Patrick O'Brian,Unknown
Waiting,Ha Jin,Unknown
A Bend in the River,V.S. Naipaul,male
مولانا,إبراهيم عيسى,Unknown
Strange Pilgrims,Gabriel García Márquez,male
"About That Night (FBI/US Attorney, #3)",Julie James,female
"The Captive (The Secret Circle, #2)",L.J. Smith,female
The Wife Between Us,Greer Hendricks,Unknown
The Friend,Teresa Driscoll,female
The Overcoat and Other Short Stories,Nikolai Gogol,male
The Songlines,Bruce Chatwin,male
Gravity,Tess Gerritsen,female
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Unknown
"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,male
"Dances with Wolves (Dances with Wolves, #1)",Michael Blake,Unknown
Marrow,Tarryn Fisher,Unknown
"The Royal Ranger: A New Beginning (The Royal Ranger, #1)",John Flanagan,male
"A Letter of Mary (Mary Russell and Sherlock Holmes, #3)",Laurie R. King,female
The Christmas Doll,Elvira Woodruff,female
"Into the Cold Fire (Daughters of the Moon, #2)",Lynne Ewing,female
A Child's Garden of Verses,Robert Louis Stevenson,male
"The Sleeping Beauty (Five Hundred Kingdoms, #5)",Mercedes Lackey,female
"Sworn to Silence (Kate Burkholder, #1)",Linda Castillo,female
"Lord Valentine's Castle (Lord Valentine, #1)",Robert Silverberg,male
"Physik (Septimus Heap, #3)",Angie Sage,female
"The Guardian (Dark-Hunter, #20; Dream-Hunter, #5; Were-Hunter, #6; Hellchaser, #3)",Sherrilyn Kenyon,female
"Priestess of Avalon (Avalon, #4)",Marion Zimmer Bradley,female
"Forbidden (The Books of Mortals, #1)",Ted Dekker,male
Borstal Boy,Brendan Behan,male
"Truth (Consequences, #2)",Aleatha Romig,female
"The Big Nowhere (L.A. Quartet, #2)",James Ellroy,male
Tenth of December,George Saunders,male
"Ever After (The Hollows, #11)",Kim Harrison,female
Das Boot,Lothar-Günther Buchheim,male
Jane of Lantern Hill,L.M. Montgomery,female
Deadline,Chris Crutcher,male
Measuring the World,Daniel Kehlmann,male
Kitty and the Midnight Hour (Kitty Norville #1),Carrie Vaughn,female
"The Strange Power (Dark Visions, #1)",L.J. Smith,female
"Five Go to Smuggler's Top (Famous Five, #4)",Enid Blyton,female
"Sharpe's Rifles (Sharpe, #6)",Bernard Cornwell,male
All Families are Psychotic,Douglas Coupland,male
"A Perfect Blood (The Hollows, #10)",Kim Harrison,female
"Batman, Volume 1: The Court of Owls",Scott Snyder,male
"Sacrifice of Love (The Grey Wolves, #7)",Quinn Loftis,female
"Relentless (Relentless, #1)",Karen  Lynch,female
The Counterlife,Philip Roth,male
Bloomability,Sharon Creech,Unknown
Twenty Years After (The D'Artagnan Romances #2),Alexandre Dumas,male
A Course in Miracles,Foundation for Inner Peace,Unknown
Daniel Martin,John Fowles,male
"The Other Side of Dawn (Tomorrow, #7)",John Marsden,Unknown
Byzantium,Stephen R. Lawhead,male
To Have or to Be? The Nature of the Psyche,Erich Fromm,Unknown
"A Murder Is Announced (Miss Marple, #5)",Agatha Christie,female
Pies & Prejudice,Heather Vogel Frederick,Unknown
The Yellow Birds,Kevin Powers,male
"Sea of Silver Light (Otherland, #4)",Tad Williams,male
"By the Shores of Silver Lake  (Little House, #5)",Laura Ingalls Wilder,female
"Burn (Breathless, #3)",Maya Banks,female
The Radetzky March,Joseph Roth,Unknown
Becoming Calder,Mia Sheridan,Unknown
Derby Days: Local Football Rivalries and Feuds (Hooligans #4),Dougie Brimson,male
The Living,Annie Dillard,female
"Death Note, Vol. 13: How to Read",Tsugumi Ohba,male
"Sailing to Sarantium (The Sarantine Mosaic, #1)",Guy Gavriel Kay,male
Endless Night,Agatha Christie,female
"Rumors (Luxe, #2)",Anna Godbersen,female
"Saint (Paradise, #2)",Ted Dekker,male
Take a Thief (Valdemar #25),Mercedes Lackey,female
Idylls of the King,Alfred Tennyson,male
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson, #2)",Louise Rennison,Unknown
Oracle Night,Paul Auster,Unknown
"The Prisoner in the Oak (The Mists of Avalon, #4)",Marion Zimmer Bradley,female
"The Death of Kings (Emperor, #2)",Conn Iggulden,male
"Slave (Finding Anna, #1)",Sherri Hayes,female
"Pegasus and the New Olympians (Pegasus, #3)",Kate O'Hearn,female
The Fall of the House of Usher,Edgar Allan Poe,male
Rifles for Watie,Harold Keith,male
The Kite Runner: A Portrait of the Marc Forster Film,David Benioff,male
"Riotous Assembly (Piemburg, #1)",Tom Sharpe,male
A Grief Observed,C.S. Lewis,male
"The Hourglass Door (Hourglass Door, #1)",Lisa Mangum,female
"Dead Is So Last Year (Dead Is, #3)",Marlene Perez,Unknown
The Moon and More,Sarah Dessen,Unknown
"Seeds of Rebellion (Beyonders, #2)",Brandon Mull,male
Among Others,Jo Walton,female
Where the Mountain Meets the Moon,Grace Lin,Unknown
"A God in Ruins (Todd Family, #2)",Kate Atkinson,female
"The Egg and I (Betty MacDonald Memoirs, #1)",Betty MacDonald,female
How to Talk to a Liberal (If You Must): The World According to Ann Coulter,Ann Coulter,female
"Cat and Mouse (Alex Cross, #4)",James Patterson,male
"The Wasteland, Prufrock and Other Poems",T.S. Eliot,male
Protector (Known Space),Larry Niven,male
"The Keeping (Law of the Lycans, #2)",Nicky Charles,female
"The King Stag  (The Mists of Avalon, #3)",Marion Zimmer Bradley,female
Holy Bible: Revised Standard Version,Anonymous,Unknown
The City of Joy,Dominique Lapierre,male
"Abby Cooper, Psychic Eye (Psychic Eye Mystery, #1)",Victoria Laurie,female
"Rogue (Talon, #2)",Julie Kagawa,Unknown
"The Wedding (Being the Bad Boy's Victim, #1.5)",Claire Monette,female
"An Absolutely Remarkable Thing (An Absolutely Remarkable Thing, #1)",Hank Green,male
Hotel World,Ali Smith,female
"Death Note, Vol. 10: Deletion (Death Note, #10)",Tsugumi Ohba,male
"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",Eckhart Tolle,male
The Tesseract,Alex Garland,male
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,male
"What Happens in London (Bevelstoke, #2)",Julia Quinn,female
"Dead Is Just A Rumor (Dead Is, #4)",Marlene Perez,Unknown
The Cross and the Switchblade,David Wilkerson,male
Candor,Pam Bachorz,female
L'avalée des avalés,Réjean Ducharme,Unknown
The Realm of Possibility,David Levithan,male
The Slap,Christos Tsiolkas,male
"Hard Magic (Grimnoir Chronicles, #1)",Larry Correia,Unknown
"Split Second (Split Second, #1)",Douglas E. Richards,male
"Death Note, Vol. 3: Hard Run (Death Note, #3)",Tsugumi Ohba,male
"The Search (Eve Duncan, #3)",Iris Johansen,female
Assassination Vacation,Sarah Vowell,female
Solar Storms,Linda Hogan,female
The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective,Kate Summerscale,female
The Inspector General,Nikolai Gogol,male
"The Walking Dead, Compendium 1",Robert Kirkman,male
"A Kiss at Midnight (Fairy Tales, #1)",Eloisa James,female
"Meridon (The Wideacre Trilogy, #3)",Philippa Gregory,female
"Лабиринт отражений (Лабиринт отражений, #1)",Sergei Lukyanenko,male
"Gods and Generals (The Civil War Trilogy, #1)",Jeff Shaara,male
"World's End (The Sandman, #8)",Neil Gaiman,Unknown
"Passion (Passion Quartet, #1)",Lisa Valdez,Unknown
"Leven Thumps and the Ruins of Alder (Leven Thumps, #5)",Obert Skye,male
A Small Death in Lisbon,Robert Wilson,male
"Dead Is a State of Mind (Dead Is, #2)",Marlene Perez,Unknown
The Collected Tales of Nikolai Gogol,Nikolai Gogol,male
"Catherine, Called Birdy",Karen Cushman,female
"The Enchanted Wood (The Faraway Tree, #1)",Enid Blyton,female
No Greater Love,Danielle Steel,female
"Arrow's Fall (Heralds of Valdemar, #3)",Mercedes Lackey,female
Iron and Silk,Mark Salzman,male
The Proper Role of Government,Ezra Taft Benson,male
Some Ether,Nick Flynn,male
"Inner Harbor (Chesapeake Bay Saga, #3)",Nora Roberts,female
The Doomsday Conspiracy,Sidney Sheldon,male
"The Struggle (The Vampire Diaries, #2)",L.J. Smith,female
"Dawn (Xenogenesis, #1)",Octavia E. Butler,female
Why the Whales Came,Michael Morpurgo,male
"Raid (Unfinished Hero, #3)",Kristen Ashley,female
"Death Note, Vol. 11: Kindred Spirits (Death Note, #11)",Tsugumi Ohba,male
"The Body in the Library (Miss Marple, #3)",Agatha Christie,female
The Knowledge of the Holy,A.W. Tozer,male
Zazie in the Metro,Raymond Queneau,male
Superman: Red Son,Mark Millar,male
"How to Ruin a Summer Vacation (How to Ruin, #1)",Simone Elkeles,female
In My Hands: Memories of a Holocaust Rescuer,Irene Gut Opdyke,Unknown
"Thank You, Jeeves (Jeeves, #5)",P.G. Wodehouse,male
"Through the Dark (The Darkest Minds, #1.5, #2.5, #3.5)",Alexandra Bracken,Unknown
The Collected Stories of Katherine Anne Porter,Katherine Anne Porter,female
"Pillar of Light (The Work and the Glory, #1)",Gerald N. Lund,male
City,Clifford D. Simak,Unknown
De Profundis and Other Writings,Oscar Wilde,male
La suma de los días,Isabel Allende,female
"When Lightning Strikes (1-800-Where-R-You, #1)",Meg Cabot,female
"Fire World (The Last Dragon Chronicles, #6)",Chris d'Lacey,male
"Tiger (New Species, #7)",Laurann Dohner,Unknown
"Cast in Secret (Chronicles of Elantra, #3)",Michelle Sagara,female
